text,true_emotion,predicted_emotion
"@huwellwell One chosen by the CLP members! MP seats are not for people to dole out to their mates, we elect candidates. ",anger,anger
@komal_sidhnani true...\nThey r burning with other's pleasure!\nPpl in true love happiness everywhere _😃,anger,joy
S/O to the girl that just hit my car...not only did she get lucky w/ no scratch but also from being spared the wrath of sleep deprived Kait🙃,anger,anger
Everybody talking about 'the first day of fall' but summer '16 is never gonna die #revenge @Drake,anger,sadness
@DailyMirror i love how theres no outrage that it's a white man but if it was a black man them BLM would be all over it regardless of reason,anger,anger
For the first time in my madden career I just set up a farm account. Should make MOTM much easier,anger,joy
Literally fuming fuck sake,anger,anger
@ArcticFantasy I would have almost took offense to this if I actually snapped you,anger,joy
Sorry guys I have absolutely no idea what time i'll be on cam tomorrow but will keep you posted. ,anger,sadness
Just joined #pottermore and was sorted into HUFFLEPUFF 😡😡😡 #fuming,anger,anger
Having a baby born too soon is #lifechanging 6 years on and it feels like only yesterday #sad #happy  #emotionalrollercoaster,anger,sadness
@fluffysoftlouis no no. I insist that you give me your best insult first,anger,anger
"Why to have vanity sizes?Now sizes S,XS(evenXXS sometimes) are too big, WTF?! Dear corporate jerks, Lithuania didn't need this. #rant ",anger,anger
"Kik to trade, have fun or a conversation  (kik: youraffair) #kik #kikme #messageme #textme #pics #trade #tradepics #dm  #bored",anger,joy
The rage has died down.,anger,anger
All Brian does is sleep and aggravate me,anger,sadness
@__NETFLIXNCHILL I fuck with madden way harder,anger,joy
Lol little things like that make me so angry x,anger,anger
Sting is just too damn earnest for early morning listening. ,anger,sadness
@LeonWobYP b***er off. NCFC is a grudge match :),anger,anger
@TheDappaMc also £2.50 for a chocolate Feast ice lolly.. proper shocking 😩,fear,anger
@All4 is the android app it designed to be buggy and work sporadically on a fire TV box? #shocking,fear,anger
"⊰ @FrameOfAnAngel ⊱ \n\n+ Of them. I'm here for answers, and if I scare her to death, there won't be answers for me. \n\nSo instead, I just +",fear,fear
If my concerns &amp; anxiety don't matter to you then I shall return the favor. #EyeMatter,fear,anger
"Came in to work today 1.5 hours late.1st thing I hear: 'Ma'am,the big boss has been waiting for you in his office.' #panic #hateBeingLate 😩😪",fear,fear
About 7 weeks till I can pick up my camera again. Though I think there is a group cemetery shoot in october I can make! #photography ,fear,joy
"Gahh...BT, in queue for 30 minutes.. Now put through to BT Sport dept to cancel... back in a queue again... ",fear,anger
“We can easily #forgive a #child who is #afraid of the #dark; the real #tragedy of #life is when #men are #afraid of the #light.”–Plato,fear,fear
"Really.....#Jumanji 2....w/ The Rock, Jack Black, and Kevin Hart...are you kidding me! WTF! #ThisIsATerribleIdea #horrible",fear,anger
@joey_coops yes Hun! Avoid at all costs!! ,fear,fear
@lukeshawtime terrible,fear,anger
"At school, my classmate is with me at music class and he sang Hallelujah like, god, with my friend we were breathless.",fear,joy
I don't want speak front to him   #nopanicattack,fear,fear
#Awareness seek #shelter .#Letgo Old #habit of chasing #desires resultin in #anger #fear #worry .#Choose #Satisfaction within #Peace #Relax,fear,fear
"Really.....#Jumanji 2....w/ The Rock, Jack Black, and Kevin Hart...are you kidding me! WTF! #ThisIsATerribleIdea ",fear,anger
Losing to Villa...'@M0tivati0nQuote: Most of the things people worry about are things that won't even matter to them a few months from now.',fear,sadness
Trying to book holiday flights on @britishairways website is becoming a ,fear,fear
Whatt a trailerrrr !!! @karanjohar @AnushkaSharma #RanbirKapoor #AishwaryaRaiBachchan i am COMPLETELY BLOWN !! #awestruck #longingformore,fear,joy
Thanks for ripping me off again #Luthansa €400 not enough for a one way flight to man from Frk then €30 for a bag then free at gate #awful,fear,anger
Northampton are awful 🙈,fear,sadness
@billie21806 @cnnbrk tell that to your bodies cheering on the deaths of black people by cops. their fear is killing us.,joy,fear
"@airtelindia have some issues with my broadband bill ,I am charged for the month before I signed up with airtel.. ",joy,anger
"@PhilGlutting Hey There Phil Glutting thank you for following us, it's appreciated :) #smile",joy,joy
I love my family so much #lucky #grateful #smartassfamily #hilarious #love,joy,joy
@chencouture LMAO Is it that 'so slutty' hater girl? That video was hilarious. 😂,joy,joy
@GigaFag @pipertownsend_ snapchat new would beg to differ ,joy,joy
@Bluebelle89 @lsmith855 liking the optimism,joy,joy
@MichiganBromo Good optimism sir :),joy,joy
How can l rule my mind !!!!!! \nIt's hilarious that you can't 😭😑😮,joy,joy
Heather that was #hilarious! @MsHeatherBates @pattonoswalt @chrishansen #AnthonyWeiner #15gets20 #NYC,joy,joy
@HunterDean_ [he gives a gleeful squeak and wraps around you] All mine!,joy,joy
@GameGrumps THANK YOU SO MUCH FOR COMING TO DETROIT I'm going to sob joyful rainbows now brb,joy,joy
@tomlinmayniac starting my new challenge ! A glee poll every day !,joy,joy
Each day is what you make of it! #goals #challenges #business #goals #optimism #happy #success #photographer #photography #ThursdayThoughts,joy,joy
@hesham786 that's the spirit #optimism,joy,joy
Somebody who has braved the storm is brewing. #cheerful,joy,joy
I hate it when im singing and some idiot thinks they can just join in with me like...this is not fcking glee #MeanRikonaBot,joy,anger
incredible that anthony weiner has been caught chasing a busty milkmaid across a park at double speed while jaunty music plays,joy,joy
"Ready for that nice, breezy, calm, sunshine weather.🍂🍁 #Autumn",joy,joy
"If any trump supporters and Hillary haters wanna chirp some weak minded, pandering liberals just tweet at @EmmyA2 @snickerfritz04",joy,anger
